id,name,categories,price,weight
2fc069f2-b643-426a-96a0-283fde26fe09,"Navystar Musical Fun Guitar, Blue",Toys & Games | Baby & Toddler Toys | Musical Toys,14.66,12.8
c44e3f7b-ce4c-4af8-87c0-6e3d864d9e85,Pokemon TCG: Tag Team Giratina & Garchomp | 4 Booster Pack | 1 Metal Tag Team Gx Marker | 1 of 3 Foil Tag Team Pokémon-GX Tin,,24.99,13.8
6f1e0bb6-9705-447c-b452-94347ad512e0,"Forum Novelties Union Officer Child's Costume, Medium","Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Boys | Costumes",21.07,12.8
a0ece36a-a9f0-459a-b2af-b777497f46ee,"Mischief & Mayhem Boys Ghouls of Summer Costume, One Color, Small, One Color, Small",Toys & Games | Dress Up & Pretend Play | Costumes,5.21,9.6
5c1855ed-deb7-411c-965f-519cca291705,"The Kids Room by Stupell ""Red White and Blue Baseball Typography"" Wall Plaque Art",Baby Products | Nursery | Décor | Wall Décor | Wall Plaques,23.99,2.25
b9944143-84c1-4018-a4a6-c307b6597444,"Rubie's DC Comics Justice League Superhero Style Teen Dress with Cape Rhinestone Wonder Woman, Red, Small Costume","Clothing, Shoes & Jewelry | Costumes & Accessories | Women | Costumes & Cosplay Apparel | Costumes",15.09,7.2
89c9503a-c57f-4c0e-92c0-d0ae923bd21d,"Scrapbook Customs Themed Paper and Stickers Scrapbook Kit, Bali Paradise",Home & Kitchen | Home Décor | Kids' Room Décor | Wall Décor,24860.0,5.6
97e6a293-956d-45a6-81cd-1f3784d2a535,Rubie's Costume Co. Women's Bumble Bee Baby,"Clothing, Shoes & Jewelry | Costumes & Accessories | Women | Accessories",19.92,9.3
fac84b63-e6d6-45ad-894b-fd6a59efdc83,"Papo The Ice Field Playset, Multicolor",Toys & Games | Toy Figures & Playsets | Playsets & Vehicles | Playsets,147727.74,3.4
c3cbd56a-2fef-4acb-b6e1-ea0e3f69bf79,Green Toys House Play Set - Pink,,36913.01,2.79
4056e4f5-4d33-4331-8905-4fcd59b5cfea,"Disney Disguise Baby's Nemo Prestige Infant Costume, Orange, 6-12 Months","Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Baby | Baby Boys",33.74,9.9
ece337a2-ee4b-4aa9-9111-eadc8e2e3feb,Fantasy Flight Games Sw Destiny: General Grievous Starter Set,Toys & Games | Games & Accessories | Card Games,24622.65,8.2
e8766c4a-9337-49ea-95ad-4ac5e37ad1fb,Flash Furniture Black Padded Ergonomic Shell Chair with Left Handed Flip-Up Tablet Arm,Home & Kitchen | Furniture | Kids' Furniture | Desks & Desk Sets | Sets,44.99,10.0
71883d7f-b8ac-4616-8a73-6dd27ab33834,"Funko Pop Marvel: Venom - Venom Eddie Brock Collectible Figure, Multicolor",,13.95,6.4
add9763d-cd65-4021-913b-0dfd7a1ff0d2,amscan Thank Yous | Hello Kitty Collection | Party Accessory,Toys & Games | Party Supplies,9.22,2.88
2d3f2bb0-77e0-4729-864a-01a3e8414d62,9830 Breadboard-Prototype Design Aid,Toys & Games | Learning & Education | Science Kits & Toys,15.7,4.0
1f0b7233-a7dc-4d2d-b0e3-25ef97d7d7f4,"NERF Infinus N-Strike Elite Toy Motorized Blaster with Speed-Load Technology (FFP), Brown",Toys & Games | Sports & Outdoor Play | Blasters & Foam Play,69.99,4.9
aedde1cb-faaf-4796-b2ae-5abe6d36d742,"DB Longboards Phase 38"" Maple Drop Through Longboard","Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Skateboarding | Standard Skateboards & Longboards | Longboards",134.82,7.3
d5f9e5b6-7593-4747-9402-79d0fb0dcbeb,Good Smile Kingdom Hearts II: Mickey Nendoroid Action Figure,,31.02,8.5
8f1072c1-1552-422f-9c7b-ee38872258b1,"Steiff Hoppi Dangling Rabbit, Beige/Brown",Toys & Games | Stuffed Animals & Plush Toys | Stuffed Animals & Teddy Bears,43.05,5.6
3a3e8eed-f5db-47ff-bc91-53380091483f,"Poler Unisex-Adult's Classic Rucksack-ptt, PINE TREETOP, One Size","Clothing, Shoes & Jewelry | Men | Surf, Skate & Street | Backpacks",61.84,1.75
2161c916-c5bb-4bd2-a9c7-af231a8259f6,"Chenille Kraft Wonderfoam Foam Hopscotch Mat, Set of 14",Toys & Games | Puzzles | Puzzle Play Mats,24.45,1.84
544ad740-c636-4c6e-963d-d4d9c3704956,Costume Sunglasses Five Nights Checker Arm Arkaid Party Favors UV400,Toys & Games | Party Supplies,5.99,0.96
75d9a2c0-8ade-4b91-97e9-251cc14b37bd,Mega Construx Probuilder Wind Raider Attack,Toys & Games | Building Toys | Building Sets,54905.84,11.2
e326b02e-70cd-47b2-861d-f08a0eadded2,Hitec RCD 36625 D-625MW 32-Bit High Speed Metal Gear Servo,Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts | Servos & Parts | Servos,41.74,
6741f0ff-2ca0-47fb-9a38-140b527538e8,"Bestway 43186E Candy Delight Lounge Pool Float, Multi-Colored",Toys & Games | Sports & Outdoor Play | Pools & Water Toys,6.99,2.1
e70b7e1f-a583-4210-8772-5defc3290800,AMERICAN GREETINGS Bright Colors Latex Balloons | Pack of 15 | Party Decor,Toys & Games | Party Supplies | Balloons,1355.0,0.32
67358422-0212-4cbf-8d8c-1a56f185587e,Squeezoos Bubble Bus with Exclusive Character Squeeze Doll,Toys & Games | Baby & Toddler Toys,24.99,3.1
8b6d6507-73f1-40b1-b08f-a7e30775178f,"Whitmor Kids Canvas Collapsible Cube-10 x 10 x 10 inches, Pink, Owl Collection",Home & Kitchen | Kitchen & Dining | Storage & Organization | Travel & To-Go Food Containers | Lunch Boxes,12.51,1.47
5c4559d8-5372-4800-b323-c1444615d842,Junior Learning Ten Frame Bingo Educational Action Games,Toys & Games | Learning & Education | Counting & Math Toys,28208.73,11.8
17a448f9-44a9-4696-9cdb-7467db65299f,Poolmaster 87448 45-Inch Convertible Boat Oars and Boat Paddles,Sports & Outdoors | Outdoor Recreation | Water Sports | Canoeing | Paddles,110132.97,2.0
2926501a-1dd0-42ed-b559-e85c0682832e,"Ravensburger Disney Frozen Winter Adventures Puzzle Box 3 x 49-Piece Jigsaw Puzzles for Kids – Every Piece is Unique, Pieces Fit Together Perfectly",Toys & Games | Puzzles | Jigsaw Puzzles,11.99,11.4
ff502237-ba0d-4305-9580-10fef62141cd,Tricorn Hat,"Clothing, Shoes & Jewelry | Costumes & Accessories | Men | Accessories | Headwear",8.99,
42043102-bef2-4de2-97fa-ad62644678e0,"Pool Mate 3X-Large Foam Mattress Swimming Pool Float, Marina Blue",Toys & Games | Sports & Outdoor Play | Pools & Water Toys | Pool Rafts & Inflatable Ride-ons,142.52,11.0
468f9c48-8722-45cb-982c-ce700c907b8b,White Pearlized Wedding Place Cards 50ct | Wedding and Engagement Party,Home & Kitchen | Kitchen & Dining | Kitchen & Table Linens | Accessories | Place Cards & Place Card Holders,9.99,2.4
3ef6c350-0982-4540-9fdf-bc8e4c5735ed,"dreamGEAR My Arcade Learning Pad Educational Toy: 70 Brain and Puzzle Games, Over 200 Retro Style Games, Listen to Stories, Sing Songs, Play Games, 2.75 Inch Color Display, Battery Powered",Toys & Games | Kids' Electronics | Systems & Accessories | Electronic Systems,40.53,1.15
30739d04-3b2a-41eb-a55d-0d888e3adb94,PLAYMOBIL Venkman and Terror Dogs,,18.98,6.4
243ab167-8650-40a5-be32-222ff3873f4d,"Critter Piller Kid's Travel Buddy and Comfort Pillow, Blue Dog, Hypoallergenic, Machine Washable, Recycled Filling",Home & Kitchen | Bedding | Kids' Bedding | Decorative Pillows & Covers | Travel Pillows,11.99,
63169ae0-edd0-4d7a-816c-9b07af1640d0,DC Fix 334-0025 Phantom Premium Window Film,Home & Kitchen | Home Décor | Window Treatments | Window Stickers & Films | Window Films,13.75,
dca73bf8-5c6f-49f3-9c31-451365409502,"Urban Habitat Kids Finn Twin/Twin Xl Bedding Sets Boys Quilt Set - Green, Navy , Shark Stripe – 4 Piece Kids Quilt For Boys – 100% Cotton Quilt Sets Coverlet",Home & Kitchen | Bedding | Kids' Bedding | Bedding Sets & Collections | Bedspread & Coverlet Sets,80499.87,7.45
ae678af3-192a-4655-9e84-b2632c5dfa61,"Funko 38028 Pint Size Heroes: FortniteBlack Knight & Red Knight 2 Pack, Multicolor",,14350.47,1.6
209ce65a-fff4-492d-bf67-157aae2b46e2,"Alilo Cool Bunny, Blue",Toys & Games | Baby & Toddler Toys | Musical Toys,70.44,1.6
e45dd375-d5d3-49c3-a7dd-3e8330828f15,"LEGO 8-Brick Storage Box, Bright Red",Toys & Games | Building Toys,24.98,4.65
0c4115a1-362e-42af-a83f-34fe35db8b9b,Disney Tinker Bell Pink Flip Flop Key Ring,,20366.85,0.32
d49b6867-a58b-4515-93a2-8c63f2da133d,"American Furniture Classics 12 Bin Organizer for Toys, Light Oak",Home & Kitchen | Furniture | Kids' Furniture,44.63,42.0
f1626a63-5dcf-437e-b6eb-bd9b7a9d1d21,Disguise Inc - Super Mario Bros. Luigi Kart Child Costume,"Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Boys | Costumes",69.99,1.59
d0d2a28c-bf17-42f7-bdae-490e8dd6c6f8,"Swing-N-Slide Double Doozie Nest Swing, Green",Toys & Games | Sports & Outdoor Play | Play Sets & Playground Equipment | Play Set Attachments | Swings,795489.76,15.1
